Обнаружены следующие ошибки:
Объект - Строка - 24; наименование - Ветчина Балыкбургская Баварушка в количестве 15 НЕ НАЙДЕН.
	Строка - 600; наименование - Вареные колбасы «Нежная» НТУ Весовые П/а ТМ «Зареченские», в количестве 120
Перенос данных из Строка - 11; наименование - 016  Сосиски Вязанка Молочные, Вязанка вискофан  ВЕС.ПОКОМ, кг ==> 
	Строка - 115; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Молокуша/Сосиски/P003691/","Сосиски «Молокуши (Вязанка Молочные)» Весовые П/а мгс УВВ ТМ «Вязанка»"), в количестве 120
Перенос данных из Строка - 12; наименование - 238  Колбаса Салями Баварушка зернистая, оболочка фиброуз, ВЕС, ТС Баварушка  ПОКОМ, кг ==> 
	Строка - 485; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Баварушка/Филейбургская/Копченые колбасы/P004515/","В/к колбасы Салями Филейбургская зернистая Филейбургская Весовые фиброуз в/у Баварушка"), в количестве 16
Перенос данных из Строка - 13; наименование - 266  Колбаса Филейбургская с сочным окороком, ВЕС, ТМ Баварушка  ПОКОМ, кг ==> 
	Строка - 489; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Баварушка/Филейбургская/Копченые колбасы/P004336/","В/к колбасы Филейбургская с сочным окороком Филейбургская Весовые фиброуз в/у Баварушка"), в количестве 80
Перенос данных из Строка - 14; наименование - 211  Колбаса Баварушка с душистым чесноком, ВЕС, фиброуз в/у, ТМ Стародворье ПОКОМ, кг ==> 
	Строка - 487; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Баварушка/Филейбургская/Копченые колбасы/P004332/","В/к колбасы Филейбургская с душистым чесноком Филейбургская Весовые фиброуз в/у Баварушка"), в количестве 30
Перенос данных из Строка - 15; наименование - 265 Колбаса Балыкбургская, ВЕС, ТМ Баварушка ПОКОМ, кг ==> 
	Строка - 522; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Баварушка/Балыкбургская/Копченые колбасы/P004327/","Копченые колбасы «Балыкбургская с копченым балыком» вес айцел ТМ «Баварушка»"), в количестве 50
Перенос данных из Строка - 16; наименование - 243  Колбаса Сервелат Зернистый, ВЕС.  ПОКОМ, кг ==> 
	Строка - 366; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Бордо/Копченые колбасы/P001820/","В/к колбасы Зернистый Бордо Весовые Фиброуз в/у Стародворье"), в количестве 120
Перенос данных из Строка - 17; наименование - 244 Колбаса Сервелат Кремлевский, ВЕС. ПОКОМ, кг ==> 
	Строка - 367; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Бордо/Копченые колбасы/P003013/","В/к колбасы Кремлевский Бордо Весовые Фиброуз в/у Стародворье"), в количестве 100
Перенос данных из Строка - 18; наименование - 271  Колбаса Сервелат Левантский ТМ Особый Рецепт, ВЕС. ПОКОМ, кг ==> 
	Строка - 459; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая Без свинины/Копченые колбасы/P004227/","В/к колбасы Сервелат Левантский Особая Без свинины Весовые в/у Особый рецепт"), в количестве 70
Перенос данных из Строка - 19; наименование - 251  Сосиски Баварские, ВЕС.  ПОКОМ, кг ==> 
	Строка - 406; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Бавария/Сосиски/P002202/","Сосиски Баварские Бавария Весовые П/а мгс Стародворье"), в количестве 150
Перенос данных из Строка - 20; наименование - 253  Сосиски Ганноверские   ПОКОМ, кг ==> 
	Строка - 373; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Бордо/Сосиски/P002209/","Сосиски Ганноверские Бордо Весовые П/а мгс Баварушка"), в количестве 1300
Перенос данных из Строка - 21; наименование - 012  Колбаса Сервелат Столичный, Вязанка фиброуз в/у, ПОКОМ, кг ==> 
	Строка - 178; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Вязанка/Копченые колбасы/P002179/","В/к колбасы Столичный Вязанка Весовые Фиброуз в/у Вязанка"), в количестве 40
Перенос данных из Строка - 22; наименование - 229  Колбаса Молочная Дугушка, в/у, ВЕС, ТМ Стародворье   ПОКОМ, кг ==> 
	Строка - 556; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Дугушка/Дугушка/Вареные колбасы/P004030/","Вареные колбасы «Молочная Дугушка» Весовые Вектор ТМ «Дугушка»"), в количестве 30
Перенос данных из Строка - 23; наименование - 226  Колбаса Княжеская, с/к белков.обол в термоусад. пакете, ВЕС, ТМ Стародворье ПОКОМ, кг ==> 
	Строка - 388; наименование - С/к колбасы Княжеская Бордо Весовые б/о терм/п Стародворье, в количестве 3
Перенос данных из Строка - 25; наименование - Сосиски Датские в газе ==> 
	Строка - 626; наименование - Сосиски Датские Зареченские продукты Весовые П/а мгс Зареченские, в количестве 40

Вес продукции из первого файла: 4048
Вес продукции во втором файле составляет: 4033
