Перенос данных из Строка - 346; наименование - Паштеты «Печеночный с морковью ГОСТ» Фикс.вес 0,1 ТМ «Стародворье» ==> 
	Строка - 364; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Бордо/Паштеты/P003252/","Паштеты «Печеночный с морковью ГОСТ» Фикс.вес 0,1 ТМ «Стародворье»"), в количестве 10
Перенос данных из Строка - 347; наименование - Паштеты Со сливочным маслом ГОСТ Бордо фикс.вес 0,1 Стародворье ==> 
	Строка - 365; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Стародворье/Бордо/Паштеты/P002648/","Паштеты Со сливочным маслом ГОСТ Бордо фикс.вес 0,1 Стародворье"), в количестве 10
Перенос данных из Строка - 364; наименование - Вареные колбасы «Молочная» Весовой п/а ТМ «Особый рецепт» большой батон ==> 
	Строка - 383; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая/Вареные колбасы/P004256/","Вареные колбасы «Молочная» Весовой п/а ТМ «Особый рецепт» большой батон"), в количестве 600
Перенос данных из Строка - 366; наименование - Вареные колбасы «Со шпиком» Весовой п/а ТМ «Особый рецепт» большой батон ==> 
	Строка - 385; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая/Вареные колбасы/P004257/","Вареные колбасы «Со шпиком» Весовой п/а ТМ «Особый рецепт» большой батон"), в количестве 400
Перенос данных из Строка - 369; наименование - Вареные колбасы «Филейная» Весовой п/а ТМ «Особый рецепт» большой батон ==> 
	Строка - 386; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая/Вареные колбасы/P004293/","Вареные колбасы «Филейная» Весовой п/а ТМ «Особый рецепт» большой батон"), в количестве 600
Перенос данных из Строка - 374; наименование - Вареные колбасы «Филейная» ф/в 0,5 п/а ТМ «Особый рецепт» ==> 
	Строка - 392; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая/Вареные колбасы/P004253/","Вареные колбасы «Филейная» ф/в 0,5 п/а ТМ «Особый рецепт»"), в количестве 20
Перенос данных из Строка - 378; наименование - Ветчины Нежная Особая Особая Весовые П/а Особый рецепт большой батон ==> 
	Строка - 396; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая/Ветчины/P002555/","Ветчины Нежная Особая Особая Весовые П/а Особый рецепт большой батон"), в количестве 600
Перенос данных из Строка - 389; наименование - Сардельки Сочные Особая Весовые NDX мгс Особый рецепт ==> 
	Строка - 407; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая/Сардельки/P002490/","Сардельки Сочные Особая Весовые NDX мгс Особый рецепт"), в количестве 100
Перенос данных из Строка - 405; наименование - В/к колбасы Сервелат Левантский Особая Без свинины Весовые в/у Особый рецепт ==> 
